created_at,id,full_text,retweet_count,favorite_count,user_id,user_name,user_screen_name,user_description,user_location,user_created_at,lat,long,neg,neu,pos,sentiment
2019-05-12 01:00:21,1127377941363449856,"@maxschneider1 @MSMWatchdog2013 @LiberalAus @annabelcrabb Exactly!! WHY do ignorant ppl buy into this scaremongering?! Beggars belief.
#AusVotes2019 #Auspol #COALitionOUT",0.0,0.0,218049127.0,💧💔 Vivienne Bridget Clare 🖤 💔 🖤,cherrypieit,"App Linguistics. Translator, ESL Teacher, Discourse Analyst. Balletomane, Space Geek, Venetophile. I ❤️ 👠👛 👗 🎻 🏖 🗽",Sydney | Milano,2010-11-21 08:18:24,-33.8688197,151.2092955,0.94448334,0.049795944,0.005720708,-0.9387626
2019-05-18 11:57:18,1129717593739108352,Hopefully someone finally stops James fucking Bond and one of those fearless heros can finish their grand plans for planet renewal. #AusVotes #AusPol,0.0,1.0,137633666.0,Nick,NickSugarbaker,misanthrope,"Melbourne, Australia ",2010-04-27 08:49:49,-37.8136276,144.9630576,0.66252464,0.24737026,0.090105124,-0.5724195
2019-05-18 10:17:42,1129692529543110658,"Antony Green - ""at the moment we're seeing something that looks like it might be a minority government with a lot more counting to come, but we're going to need to see the figures in WA and the NT Territory to get a firmer picture""

#auspol #ausvotes @politicsabc",8.0,5.0,288708450.0,Brihony Speed,brihonyspeed,Supervising producer @abcnews Parliament House bureau. Former political producer for @abc730.,"Parliament House, Canberra",2011-04-27 10:00:15,-35.3082237,149.1243923,0.1393675,0.8358855,0.024746943,-0.11462057
2019-05-18 22:25:19,1129875640079929344,So many salty comments from the Left to get through...... #AusVotes2019 #auspol,0.0,0.0,56722118.0,The Real GPS,GAV679,"A love of sport, @NRL_Bulldogs & @Chargers, beer, music & photography! @westernreds captain & @FNBFL_Draft fantasy NRL coach.","Sydney, Australia",2009-07-14 15:19:43,-33.8688197,151.2092955,0.81032723,0.17731516,0.012357646,-0.7979696
2019-05-18 02:03:22,1129568124959780865,A big thank you to all the early voters because I was in and out of the local polling booth in 15 mins with #democracysausage in hand. This included below the line voting #ausvotes,0.0,2.0,60058551.0,Bec,bec_rae,Instagram: becca_rab,"Melbourne, Australia ",2009-07-25 13:37:12,-37.8136276,144.9630576,0.0052474174,0.0414075,0.95334506,0.94809765
2019-05-19 08:50:18,1130032922168352769,"@roseellamusic @yassmin_a If it's any consolation, it IS possible that the results have been compromised. Computers do get hacked in other countries, why not here?  There's too much at stake for them to lose, hence the manufactured ""miracle"".
#auspol #ScummoIsOurTrump",0.0,1.0,38392608.0,💧 Fierce Dinosaur,FierceDinosaur,"ShoutyMcShoutface, Fraudberg, Girly-man, PotatoHead, BJ, Iceman, Price, Abetz, Anus Taylor, Hawke, Hunt OMG what have we done? 😳 😩 Refugees! CC!
TonedAbs GONE 🥰",Sydney Australia,2009-05-07 07:49:13,-33.8688197,151.2092955,0.79911125,0.19028677,0.010602022,-0.78850925
2019-05-18 09:39:25,1129682896246124546,"Very early numbers are favouring @PeterDutton_MP in the Queensland seat of Dickson, despite him being the target of @GetUp throughout his campaign. Live coverage now on @Channel7 and streaming at https://t.co/m63Fb4AWOb #ausvotes #7NEWS https://t.co/lanSpBVfNB",0.0,0.0,2570135946.0,7NEWS Wide Bay,7NewsWideBay,"7NEWS Wide Bay brings you the latest in local news, sport and weather weeknights at 6pm, then 6:30pm on 7TWO. Email: widebayjournalists@seven.com.au #7NEWS","Wide Bay, Queensland",2014-06-16 03:41:00,-25.2881539,152.7676633,0.0049705687,0.277112,0.71791744,0.7129469
2019-05-18 10:16:56,1129692335447597056,"""One of the interesting things about this election is a swing away from the major parties,"" says our results analyst, Jasper MacCuspie. #ausvotes",0.0,0.0,21819649.0,Farrago Magazine,FarragoMagazine,Student magazine of @unimelb since 1925 | Whatever people do forms the motley subject of our page | Email the eds at editors@farragomagazine.com,Melbourne,2009-02-25 01:03:09,-37.8136276,144.9630576,0.0038442477,0.14855239,0.8476033,0.84375906
2019-05-20 08:17:40,1130387096714207232,Australia's money markets have cheered Coalition's victory in what has been an extraordinary day of trade. The ASX put on more than $30B as investors flocked back to the banks and private health funds in the wake of the election outcome. https://t.co/FtRMGaxqF9 @GemmaActon #7NEWS https://t.co/faZGKonoFJ,1.0,3.0,156464691.0,7NEWS Sydney,7NewsSydney,First For News in Sydney with @MarkFerguson_7 @michaelusher @Mel_Mclaughlin @JimWilsonTV @DavidWBrown7 https://t.co/dOBmFmUJhs,Sydney,2010-06-17 01:05:23,-33.8688197,151.2092955,0.003579461,0.0920143,0.9044062,0.90082675
2019-05-18 04:09:35,1129599891632582657,Good luck tonight; Bill hopefully Labor brings it home for Bob Hawke (R.I.P) @billshortenmp #auspol,0.0,0.0,598447260.0,Tiberius Cato,SlyProgrammer,"I am programmer (Win, Linux, Android and Consoles). I code in PHP, CGI, Java, Javascript, Flash, HTMLx and C++. I am a PS4 Gamer and IT Specialist.","NSW, Australia",2012-06-03 14:15:04,-31.2532183,146.921099,0.0030860803,0.04480359,0.95211035,0.94902426
