created_at,id,full_text,retweet_count,favorite_count,user_id,user_name,user_screen_name,user_description,user_location,user_created_at,lat,long,neg,neu,pos,sentiment
2019-05-14 01:16:11,1128106701452759045,@TomMcIlroy SloMo seems to have a thing about not letting women speak #boothbyvotes #AUSVote2019 #ausvotes #auspol,4.0,1.0,3029783283.0,Interested Bystander,IntBystand,Watching and waiting to call bullshit on extremist nutters when it just becomes too much to bear any longer,Australia,2015-02-11 08:16:25,-25.274398,133.775136,0.6310973,0.3563846,0.012518042,-0.61857927
2019-05-10 23:18:11,1126989842506584064,The courier mail reports this as a softening of the market🤔   I'm thinking it's more like what the fuck is happening under the Morrison government with housing prices .. this is what happens when you keep feeding the bubble  #auspol #AusVotes2019 https://t.co/w3YJgwlB2O,8.0,21.0,1108565574.0,Politic@l Spinner,LesStonehouse,Been following politics closely since the sacking of Whitlam in 75.. I'm good at Spinning 🤔 😉 lots of tongue and cheek 😝 can get annoying 😁,brisbane,2013-01-21 09:37:19,-27.4697707,153.0251235,0.8328611,0.1580901,0.009048803,-0.8238123
2019-05-11 04:22:47,1127066498294403073,"What do #MainstreamMedia expect after years&amp; years of #Propaganda about #OrdinaryAustralians they have denigrated  insulted, told lies  beat up stories about people doing it tough they deserve 2b called to account 4 their incessant harassment of the people  #AusVotes2019 #auspol https://t.co/QW9S8qdy7b",4.0,0.0,79590214.0,Jeanie Ordinary Girl #SafePassage #FreeAssange,JS49,"Supporter of human rights, freedom of expression & social justice. 'In a time of Universal Deceit it becomes a revolutionary act to tell the truth'. Orwell",Australia,2009-10-03 23:22:31,-25.274398,133.775136,0.8804942,0.113031216,0.006474654,-0.8740195
2019-05-13 11:07:00,1127892996475707392,"Diabetes: biggest health challenge underplayed by politicians ... Prof Maria Craig writes #openaccess in InSight+ ... ""Australia’s biggest health challenge – diabetes – is not getting the attention it warrants from both major parties"" ...https://t.co/KOv2T1mNXw #auspol https://t.co/yNnahhGUTj",1.0,0.0,153287840.0,MJA,theMJA,The Medical Journal of Australia (MJA) is Australia's leading peer-reviewed general medical journal. RTs are not endorsements. Also tweeting for MJA InSight.,Sydney Australia,2010-06-08 04:33:12,-33.8688197,151.2092955,0.6236116,0.35231733,0.02407105,-0.5995406
2019-05-20 10:07:18,1130414688406106112,"A big congratulations to the organisers of the fake news campaign. I hope winning another three years of government to squander on your own pettiness was worth consequences like these to ordinary people.
Of course they were - right?
@theautomatt, I’m so, so sorry. #auspol https://t.co/wiVuknQJ3o",15.0,48.0,33216799.0,Van Badham,vanbadham,Opinionated in the @guardian & on @ABCTheDrum. Locate me via my wrangler: Jess@jessamygleeson.com. My opponents call me “the red queen”... and I rather like it.,"Melbourne, Victoria",2009-04-19 14:55:09,-37.8136276,144.9630576,0.733548,0.17660192,0.08985018,-0.6436978
2019-05-18 12:05:28,1129719651686944769,"#Queensland, beautiful one day, well this is awkward the next #auspol https://t.co/98RRN0e9AR",51.0,216.0,385709969.0,Matthew Howard,MatthewamHoward,"@10NewsFirstQLD & @10NewsFirst Video Journalist. Equal parts cameraman, reporter, editor and presenter. I do all my own stunts. mahoward@networkten.com.au","Gold Coast, Queensland",2011-10-06 00:08:00,-28.016667,153.4,0.62898034,0.28659165,0.08442804,-0.5445523
2019-05-12 01:19:24,1127382736841265153,Michael McCormack could literally bore a chunk of wood into a slab of stone. #liberallaunch #ausvotes,33.0,121.0,33216799.0,Van Badham,vanbadham,Opinionated in the @guardian & on @ABCTheDrum. Locate me via my wrangler: Jess@jessamygleeson.com. My opponents call me “the red queen”... and I rather like it.,"Melbourne, Victoria",2009-04-19 14:55:09,-37.8136276,144.9630576,0.58703494,0.37957436,0.033390682,-0.55364424
2019-05-15 08:01:22,1128571055440707585,"Kirby and I pre-polled today! 

If you see an Assistance Dog when you’re out and voting, remember not to distract them! They’re helping their handler participate in our democracy, and that’s a pretty big job that needs a lot of focus 💕

#DemocracyDoggo #AusPol https://t.co/9Fglad1jZr",1.0,7.0,7.848977429338644e+17,Brianna Bell,briannasbell,"Disability advocate, EDS-haver, law grad, handler of Assistance Dog @KirbyTheAD ♿️👩‍💻🐶 She/her. Feel free to https://t.co/k6xHaT6SD7","Brisbane, Queensland",2016-10-08 23:26:19,-27.4697707,153.0251235,0.009963054,0.33006912,0.65996784,0.6500048
2019-05-18 02:17:09,1129571595213713408,"#Disgraceful

😡😡😡😡

https://t.co/WfOvdKyleq … via @smh

#auspol #ausvotes https://t.co/FTeEFEqpiO",2.0,2.0,1.1213655412879484e+18,Jacqueline Eastman,JackEastman64,"Autism 🧩Bipolar🐨Aussie Patriot 🇦🇺#Brexit 🇬🇧#Trump2020🇺🇸#Blexit Anti-Marxism, PC, Islam, Socialism, Globalism & Communism 🕯️#JusticeForKathy⚖️ #FightNWO👍",Australia,2019-04-25 10:49:13,-25.274398,133.775136,0.84652436,0.14207347,0.011402132,-0.8351222
2019-05-16 22:32:30,1129152673888866304,@lotzalozza @Kynes3 Absolutely ....am retired now but had to fight strike and protest for every pay rise or condition we ever got. But we got them 😉 Union makes us strong 😂 #ausvotes,3.0,8.0,485497413.0,🍌Leftie Troublemaker🍍,MinhKular,#antiracist #VAW #animallover #Unionthug #Truebeliever #mentalhealthnurse #snarky #Feminist #humanrights #foodie #blockedbybishop,Cape York,2012-02-07 08:14:00,-10.7,142.5166667,0.026047302,0.16266014,0.8112926,0.7852453
2019-05-16 03:17:31,1128862010790146049,#ClimateBreakdown #DirectAction @GregHuntMP Waste by #cathywilcox1 https://t.co/Al5AtsiUpC  https://t.co/1d0spIbQsQ #auspol #NPC #Ausvotes,1.0,0.0,373149557.0,💧 Sur Plus,otiose94,Documentation! Qué?,Canberra,2011-09-14 02:31:09,-35.2809368,149.1300092,0.4419241,0.5305605,0.027515339,-0.41440874
2019-05-17 04:28:54,1129242363006636032,"It’s time to work out your preferences for democracy sausage day tomorrow.

Skip the how to vote cards and spend a few minutes working out *your* preferences behorand take a cheat sheet with you. #auspol #AusVotes19 

https://t.co/UTbdWH5EzT",1.0,13.0,23908767.0,Giselle Rosman,jazzrozz,"ex @HipsterWhaleDev, @GlobalGameJam & @IGDAMelbourne Game dev aunty/mum, Adam Lancman Award winner. Looking for her next adventure.",Melbourne,2009-03-12 05:49:20,-37.8136276,144.9630576,0.02229739,0.7477373,0.22996531,0.20766792
2019-05-18 22:16:43,1129873478088155136,"The people have repudiated Labor’s extreme Leftwing agenda, class warfare, gender politics #auspol",1.0,0.0,720275402.0,Suren Senat,suren_senat,Remember that a government big enough to give you everything you want is also big enough to take away everything you have. — Barry Goldwater,"Melbourne, Australia",2012-07-27 14:42:58,-37.8136276,144.9630576,0.6064145,0.36666036,0.026925161,-0.57948935
2019-05-20 03:54:08,1130320776656113664,@ItsBouquet Anybody hear the end of Scummo's speech on election night? Finished with God Bless Australia. If this devolves into the American style crap I won't be able to cope.,1.0,7.0,1365752984.0,💧Robbie #ILikeBill of Melbourne,RobbiePHannan,"Singer, Mum, Volunteer, Activist.
The IPA run LNP is ruining this country. Time to tell Rupert to bugger off. Put the Libs last, that's where they put you.",Australia,2013-04-20 00:40:09,-25.274398,133.775136,0.9302128,0.061467435,0.00831979,-0.921893
2019-05-19 22:38:07,1130241251003908098,Kerryn Phelps to concede defeat in Wentworth to Dave Sharma #ausvotes #auspols  https://t.co/t4ytL4ZFkF,1.0,0.0,197284863.0,Jarrod Whittaker,JarrodWhittaker,ABC journalist based in Sale. Email: whittaker.jarrod@abc.net.au,"Gippsland, Victoria",2010-10-01 02:51:49,-37.5831982,147.4627259,0.3544609,0.6249919,0.020547148,-0.33391374
2019-05-12 22:33:27,1127703359346040832,Gus Nadir Hosen for PM. #ausvotes https://t.co/eW3dyQi1xc,3.0,11.0,2484673278.0,Max Walden,maxwalden_,Reporter/Producer at @ABCNews Asia Pacific Newsroom and PhD researcher @MelbLawSchool. Tips: walden.max@abc.net.au,Melbourne,2014-05-08 23:10:43,-37.8136276,144.9630576,0.016565053,0.90768784,0.07574709,0.059182033
2019-05-12 00:41:12,1127373123584577537,Campaign launch life ⁦@mpbowers⁩ #ausvotes ⁦@AmyRemeikis⁩ https://t.co/vM1cpWFXHV,4.0,33.0,66917778.0,Katharine Murphy,murpharoo,"Political editor, GuardianAU. Recovering live blogger. Insiders. Meanjin. Director NPC. Adjunct AsPro UC/Deakin. Traffic acquisition cost. Makes people cry.",Canberra,2009-08-19 05:13:38,-35.2809368,149.1300092,0.01743441,0.92115456,0.061410986,0.043976575
2019-05-15 21:32:12,1128775111429935104,#LyingFuckwit There hasn't been any cuts to hospitals &amp; healthcare unlike what you &amp; Gillard did removing funding for those suffering from chronic illnesses. #auspol #ausvotes #australiavotes2019 https://t.co/vxPBXOgwv2,2.0,0.0,957038900.0,Robbo Maroon,robbomaroon,"Born and bred Qlder (bleeds Maroon) GO THE MIGHTY MAROONS, likes V8's, rock music, genuine people and my mind lives in the gutter",Sunshine Coast,2012-11-19 08:49:42,-26.65,153.066667,0.8952193,0.095985286,0.008795467,-0.8864239
